specobjid,label,filepath
3.80626e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0338-51694-0263.fits
3.80709e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0338-51694-0562.fits
3.80723e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0338-51694-0614.fits
3.81697e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0060.fits
3.81713e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0118.fits
3.81725e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0165.fits
3.81729e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0178.fits
3.81738e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0212.fits
3.81771e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0330.fits
3.81772e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0335.fits
3.8178e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0339-51692-0362.fits
3.17539e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0282-51658-0128.fits
3.17553e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0282-51658-0178.fits
3.33358e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0296-51984-0335.fits
3.36815e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0299-51671-0623.fits
3.3778e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0300-51943-0038.fits
4.41431e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0392-51793-0283.fits
4.41502e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0392-51793-0541.fits
3.44677e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0306-51637-0551.fits
3.44694e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0306-51637-0614.fits
3.45661e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0034.fits
3.45682e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0113.fits
3.45756e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0382.fits
3.45758e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0389.fits
3.45759e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0391.fits
3.45766e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0419.fits
3.45778e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0462.fits
3.45806e+17,main_sequence,C:\Users\Harshit\OneDrive\Desktop\stellar-spectra-ai\data\raw\main_sequence\spec-0307-51663-0561.fits
